14,Get Lucky,Daft Punk feat. Pharrell Williams,funk,0.67961165
11,Locked Out Of Heaven,Bruno Mars,funk,0.633333333
30,Treasure,Bruno Mars,funk,0.545454545
26,The Lazy Song,Bruno Mars,funk,0.465517241
